Running ibex deisgn in sky130hs
5000 runs will be executed
['CLK_PERIOD', 'CORE_UTILIZATION', 'ASPECT_RATIO', 'GP_PAD', 'DP_PAD', 'LAYER_ADJUST', 'PLACE_DENSITY', 'FLATTEN', 'ABC_CLOCK_PERIOD', 'PINS_DISTANCE', 'CTS_CLUSTER_SIZE', 'CTS_CLUSTER_DIAMETER', 'GR_OVERFLOW']
[5.2978, 31.0, 0.889, 2.0, 1.0, 0.7, 0.75, 1.0, 5000.0, 2.0, 32.0, 118.0, 1.0]
[7.6693, 29.0, 0.836, 4.0, 1.0, 0.3, 0.5, 0.0, 5000.0, 3.0, 37.0, 101.0, 1.0]
[6.4937, 32.0, 0.864, 2.0, 1.0, 0.6, 0.44, 0.0, 5000.0, 2.0, 28.0, 106.0, 1.0]
[6.7671, 32.0, 0.916, 4.0, 0.0, 0.4, 0.66, 1.0, 5000.0, 1.0, 26.0, 103.0, 1.0]
[5.307, 26.0, 0.952, 0.0, 3.0, 0.1, 0.26, 0.0, 5000.0, 2.0, 20.0, 98.0, 1.0]
[5.0398, 27.0, 0.998, 4.0, 0.0, 0.6, 0.49, 1.0, 5000.0, 3.0, 16.0, 116.0, 1.0]
[6.6614, 32.0, 0.958, 3.0, 2.0, 0.5, 0.37, 1.0, 5000.0, 1.0, 27.0, 101.0, 1.0]
[5.1187, 34.0, 0.717, 2.0, 2.0, 0.2, 0.79, 1.0, 5000.0, 1.0, 26.0, 103.0, 1.0]
[6.0957, 33.0, 0.928, 2.0, 3.0, 0.4, 0.27, 1.0, 5000.0, 3.0, 35.0, 116.0, 1.0]
[6.2333, 29.0, 0.776, 1.0, 2.0, 0.2, 0.2, 0.0, 5000.0, 2.0, 23.0, 81.0, 1.0]
[5.9154, 27.0, 0.957, 3.0, 1.0, 0.1, 0.19, 0.0, 5000.0, 3.0, 33.0, 120.0, 1.0]
[5.4508, 33.0, 0.866, 3.0, 2.0, 0.2, 0.71, 0.0, 5000.0, 2.0, 30.0, 109.0, 1.0]
[7.5769, 32.0, 0.859, 1.0, 3.0, 0.2, 0.76, 1.0, 5000.0, 2.0, 26.0, 86.0, 1.0]
[5.174, 32.0, 0.833, 3.0, 1.0, 0.2, 0.35, 1.0, 5000.0, 3.0, 14.0, 95.0, 1.0]
[5.5325, 36.0, 0.753, 0.0, 2.0, 0.5, 0.83, 1.0, 5000.0, 1.0, 11.0, 102.0, 1.0]
[5.5199, 26.0, 0.962, 2.0, 2.0, 0.6, 0.54, 1.0, 5000.0, 3.0, 22.0, 110.0, 1.0]
[7.3424, 32.0, 0.725, 2.0, 3.0, 0.7, 0.34, 1.0, 5000.0, 1.0, 31.0, 107.0, 1.0]
[5.4808, 26.0, 0.856, 0.0, 2.0, 0.6, 0.52, 0.0, 5000.0, 3.0, 26.0, 93.0, 1.0]
[5.3245, 28.0, 0.929, 2.0, 4.0, 0.5, 0.47, 1.0, 5000.0, 1.0, 39.0, 95.0, 1.0]
[7.6309, 38.0, 0.992, 3.0, 0.0, 0.3, 0.75, 1.0, 5000.0, 2.0, 21.0, 113.0, 1.0]
[6.2305, 33.0, 0.921, 2.0, 3.0, 0.5, 0.94, 0.0, 5000.0, 2.0, 14.0, 93.0, 1.0]
[7.4027, 30.0, 0.89, 1.0, 3.0, 0.3, 0.88, 0.0, 5000.0, 2.0, 11.0, 93.0, 1.0]
[5.2968, 32.0, 0.839, 4.0, 3.0, 0.3, 0.24, 1.0, 5000.0, 2.0, 30.0, 113.0, 1.0]
[6.7307, 28.0, 0.975, 1.0, 1.0, 0.6, 0.97, 0.0, 5000.0, 2.0, 37.0, 84.0, 1.0]
[6.1911, 36.0, 0.769, 3.0, 2.0, 0.2, 0.96, 1.0, 5000.0, 1.0, 23.0, 114.0, 1.0]
[5.3246, 32.0, 0.916, 2.0, 3.0, 0.3, 0.29, 0.0, 5000.0, 3.0, 36.0, 84.0, 1.0]
[7.063, 30.0, 0.776, 1.0, 4.0, 0.6, 0.51, 0.0, 5000.0, 1.0, 40.0, 87.0, 1.0]
[6.6215, 33.0, 0.855, 0.0, 3.0, 0.2, 0.53, 1.0, 5000.0, 1.0, 12.0, 91.0, 1.0]
[6.0943, 33.0, 0.946, 1.0, 3.0, 0.6, 0.53, 1.0, 5000.0, 3.0, 29.0, 89.0, 1.0]
[5.8829, 35.0, 0.817, 2.0, 1.0, 0.2, 0.25, 0.0, 5000.0, 2.0, 11.0, 86.0, 1.0]
[5.881, 32.0, 0.832, 0.0, 2.0, 0.1, 0.76, 0.0, 5000.0, 1.0, 36.0, 93.0, 1.0]
[6.2824, 25.0, 0.994, 3.0, 1.0, 0.1, 0.34, 0.0, 5000.0, 3.0, 10.0, 113.0, 1.0]
[6.6196, 27.0, 0.785, 1.0, 0.0, 0.5, 0.5, 1.0, 5000.0, 2.0, 22.0, 83.0, 1.0]
[6.7262, 30.0, 0.906, 0.0, 3.0, 0.7, 0.33, 0.0, 5000.0, 2.0, 27.0, 90.0, 1.0]
[5.6368, 32.0, 0.758, 1.0, 3.0, 0.4, 0.29, 1.0, 5000.0, 2.0, 14.0, 87.0, 1.0]
[6.9922, 28.0, 0.957, 3.0, 3.0, 0.5, 0.12, 1.0, 5000.0, 3.0, 31.0, 99.0, 1.0]
[5.026, 32.0, 0.903, 0.0, 3.0, 0.2, 0.11, 1.0, 5000.0, 2.0, 15.0, 105.0, 1.0]
[7.8565, 27.0, 0.9, 0.0, 3.0, 0.3, 0.46, 0.0, 5000.0, 1.0, 12.0, 81.0, 1.0]
[5.3124, 30.0, 0.851, 3.0, 4.0, 0.7, 0.58, 1.0, 5000.0, 2.0, 31.0, 110.0, 1.0]
[6.7751, 27.0, 0.844, 4.0, 4.0, 0.3, 0.84, 1.0, 5000.0, 1.0, 36.0, 88.0, 1.0]
[7.1923, 34.0, 0.811, 1.0, 0.0, 0.3, 0.34, 1.0, 5000.0, 2.0, 30.0, 93.0, 1.0]
[6.6372, 30.0, 0.995, 0.0, 3.0, 0.6, 0.92, 1.0, 5000.0, 2.0, 14.0, 83.0, 1.0]
[6.8163, 33.0, 0.923, 0.0, 1.0, 0.6, 0.31, 1.0, 5000.0, 2.0, 33.0, 105.0, 1.0]
[6.4499, 26.0, 0.862, 1.0, 1.0, 0.1, 0.83, 1.0, 5000.0, 1.0, 28.0, 109.0, 1.0]
[6.3683, 28.0, 0.767, 1.0, 2.0, 0.7, 0.23, 0.0, 5000.0, 3.0, 39.0, 111.0, 1.0]
[6.5956, 32.0, 0.859, 2.0, 1.0, 0.4, 0.18, 0.0, 5000.0, 1.0, 33.0, 116.0, 1.0]
[6.3995, 33.0, 0.704, 2.0, 0.0, 0.3, 0.28, 0.0, 5000.0, 1.0, 25.0, 114.0, 1.0]
[5.2994, 27.0, 0.824, 2.0, 3.0, 0.2, 0.8, 1.0, 5000.0, 1.0, 22.0, 105.0, 1.0]
[6.2125, 28.0, 0.982, 4.0, 4.0, 0.5, 0.93, 0.0, 5000.0, 2.0, 25.0, 106.0, 1.0]
[6.0566, 35.0, 0.94, 1.0, 0.0, 0.6, 0.89, 0.0, 5000.0, 3.0, 19.0, 103.0, 1.0]
[6.9383, 28.0, 0.869, 3.0, 4.0, 0.2, 0.99, 1.0, 5000.0, 2.0, 35.0, 86.0, 1.0]
[7.1292, 29.0, 0.899, 1.0, 4.0, 0.3, 0.27, 1.0, 5000.0, 2.0, 12.0, 93.0, 1.0]
[7.2456, 28.0, 0.959, 2.0, 2.0, 0.3, 0.4, 1.0, 5000.0, 2.0, 36.0, 87.0, 1.0]
[7.2996, 27.0, 0.965, 0.0, 3.0, 0.2, 0.16, 1.0, 5000.0, 3.0, 38.0, 110.0, 1.0]
[6.3777, 30.0, 0.951, 4.0, 2.0, 0.4, 0.85, 0.0, 5000.0, 2.0, 15.0, 85.0, 1.0]
[5.7435, 33.0, 0.846, 1.0, 1.0, 0.6, 0.36, 0.0, 5000.0, 3.0, 24.0, 89.0, 1.0]
[7.5107, 33.0, 0.842, 1.0, 0.0, 0.5, 0.43, 0.0, 5000.0, 1.0, 32.0, 101.0, 1.0]
[6.8844, 32.0, 0.829, 2.0, 2.0, 0.5, 0.25, 1.0, 5000.0, 3.0, 17.0, 107.0, 1.0]
[5.8763, 29.0, 0.724, 2.0, 2.0, 0.6, 0.98, 0.0, 5000.0, 1.0, 26.0, 97.0, 1.0]
[5.5522, 26.0, 0.89, 2.0, 1.0, 0.7, 0.15, 1.0, 5000.0, 3.0, 32.0, 120.0, 1.0]
[7.2185, 26.0, 0.844, 3.0, 0.0, 0.7, 0.33, 1.0, 5000.0, 3.0, 26.0, 93.0, 1.0]
[5.6893, 31.0, 0.765, 3.0, 2.0, 0.5, 0.44, 0.0, 5000.0, 2.0, 18.0, 84.0, 1.0]
[6.1254, 32.0, 0.835, 1.0, 4.0, 0.2, 0.84, 0.0, 5000.0, 3.0, 23.0, 111.0, 1.0]
[5.8953, 30.0, 0.838, 3.0, 1.0, 0.2, 0.92, 0.0, 5000.0, 1.0, 33.0, 111.0, 1.0]
[6.2823, 33.0, 0.983, 1.0, 0.0, 0.5, 0.55, 1.0, 5000.0, 2.0, 17.0, 99.0, 1.0]
[6.6808, 31.0, 0.995, 2.0, 1.0, 0.2, 0.2, 0.0, 5000.0, 2.0, 11.0, 86.0, 1.0]
[7.8068, 29.0, 0.73, 0.0, 3.0, 0.3, 0.93, 0.0, 5000.0, 3.0, 35.0, 110.0, 1.0]
[5.3298, 31.0, 0.875, 0.0, 4.0, 0.4, 0.98, 0.0, 5000.0, 2.0, 14.0, 96.0, 1.0]
[7.1297, 26.0, 0.726, 1.0, 1.0, 0.7, 0.71, 1.0, 5000.0, 3.0, 11.0, 104.0, 1.0]
[6.3809, 29.0, 0.845, 2.0, 1.0, 0.6, 0.68, 1.0, 5000.0, 2.0, 11.0, 81.0, 1.0]
[7.7431, 31.0, 0.725, 3.0, 1.0, 0.7, 0.24, 1.0, 5000.0, 2.0, 18.0, 104.0, 1.0]
[6.7677, 27.0, 0.9, 4.0, 3.0, 0.1, 0.57, 0.0, 5000.0, 2.0, 13.0, 88.0, 1.0]
[5.3339, 30.0, 0.842, 1.0, 1.0, 0.3, 0.83, 0.0, 5000.0, 3.0, 35.0, 118.0, 1.0]
[6.2084, 30.0, 0.965, 1.0, 0.0, 0.4, 0.61, 1.0, 5000.0, 1.0, 30.0, 97.0, 1.0]
[5.8016, 32.0, 0.762, 2.0, 1.0, 0.5, 0.69, 1.0, 5000.0, 2.0, 34.0, 85.0, 1.0]
[5.7688, 32.0, 0.9, 1.0, 0.0, 0.5, 0.89, 1.0, 5000.0, 1.0, 32.0, 85.0, 1.0]
[6.2892, 31.0, 0.941, 1.0, 3.0, 0.3, 0.57, 1.0, 5000.0, 1.0, 16.0, 113.0, 1.0]
[6.0798, 31.0, 0.916, 1.0, 4.0, 0.5, 0.61, 1.0, 5000.0, 2.0, 31.0, 104.0, 1.0]
[5.7673, 34.0, 0.76, 1.0, 0.0, 0.1, 0.64, 1.0, 5000.0, 3.0, 36.0, 88.0, 1.0]
[6.4606, 28.0, 0.716, 4.0, 2.0, 0.4, 0.33, 1.0, 5000.0, 2.0, 23.0, 97.0, 1.0]
[5.1839, 25.0, 0.811, 4.0, 1.0, 0.3, 0.99, 0.0, 5000.0, 1.0, 22.0, 112.0, 1.0]
[5.5176, 33.0, 0.735, 1.0, 3.0, 0.6, 0.99, 1.0, 5000.0, 2.0, 12.0, 111.0, 1.0]
[5.6687, 34.0, 0.786, 3.0, 2.0, 0.6, 0.17, 1.0, 5000.0, 2.0, 15.0, 91.0, 1.0]
[5.8598, 33.0, 0.718, 3.0, 2.0, 0.1, 0.89, 1.0, 5000.0, 2.0, 13.0, 113.0, 1.0]
[7.2371, 31.0, 0.893, 4.0, 0.0, 0.2, 0.91, 0.0, 5000.0, 2.0, 21.0, 90.0, 1.0]
[6.3759, 33.0, 0.855, 2.0, 3.0, 0.3, 0.95, 1.0, 5000.0, 2.0, 29.0, 98.0, 1.0]
[5.9166, 28.0, 0.816, 0.0, 3.0, 0.1, 0.28, 0.0, 5000.0, 1.0, 32.0, 87.0, 1.0]
[7.0501, 30.0, 0.872, 2.0, 1.0, 0.3, 0.95, 0.0, 5000.0, 3.0, 31.0, 116.0, 1.0]
[5.5027, 28.0, 0.926, 1.0, 4.0, 0.2, 0.49, 0.0, 5000.0, 3.0, 20.0, 82.0, 1.0]
[6.7814, 28.0, 0.895, 0.0, 3.0, 0.4, 0.54, 1.0, 5000.0, 1.0, 30.0, 109.0, 1.0]
[6.4425, 32.0, 0.859, 2.0, 3.0, 0.1, 0.2, 0.0, 5000.0, 1.0, 29.0, 103.0, 1.0]
[5.9568, 29.0, 0.845, 3.0, 2.0, 0.5, 0.51, 0.0, 5000.0, 3.0, 30.0, 96.0, 1.0]
[6.3359, 32.0, 0.999, 3.0, 3.0, 0.3, 0.94, 0.0, 5000.0, 2.0, 20.0, 112.0, 1.0]
[7.3955, 30.0, 0.775, 1.0, 2.0, 0.5, 0.84, 1.0, 5000.0, 3.0, 39.0, 89.0, 1.0]
[5.857, 27.0, 0.7, 3.0, 4.0, 0.4, 0.41, 1.0, 5000.0, 3.0, 28.0, 91.0, 1.0]
[5.5183, 27.0, 0.925, 4.0, 0.0, 0.5, 0.4, 1.0, 5000.0, 2.0, 36.0, 101.0, 1.0]
[5.7272, 28.0, 0.937, 4.0, 2.0, 0.3, 0.68, 1.0, 5000.0, 3.0, 22.0, 87.0, 1.0]
[6.2029, 33.0, 0.95, 4.0, 0.0, 0.4, 0.28, 1.0, 5000.0, 2.0, 13.0, 97.0, 1.0]
[6.4185, 29.0, 0.756, 3.0, 3.0, 0.2, 0.57, 1.0, 5000.0, 2.0, 18.0, 106.0, 1.0]
[6.4799, 33.0, 0.837, 4.0, 0.0, 0.1, 0.94, 1.0, 5000.0, 2.0, 31.0, 107.0, 1.0]
[5.8688, 28.0, 0.897, 2.0, 3.0, 0.6, 0.12, 1.0, 5000.0, 2.0, 16.0, 91.0, 1.0]
[5.7314, 26.0, 0.973, 3.0, 0.0, 0.5, 0.34, 0.0, 5000.0, 2.0, 37.0, 103.0, 1.0]
[6.5732, 31.0, 0.96, 3.0, 4.0, 0.4, 0.39, 1.0, 5000.0, 3.0, 28.0, 82.0, 1.0]
[5.5454, 30.0, 0.901, 2.0, 0.0, 0.3, 0.28, 1.0, 5000.0, 2.0, 33.0, 87.0, 1.0]
[5.665, 33.0, 0.836, 1.0, 0.0, 0.5, 0.85, 0.0, 5000.0, 3.0, 11.0, 90.0, 1.0]
[7.0835, 30.0, 0.702, 4.0, 0.0, 0.7, 0.67, 1.0, 5000.0, 1.0, 15.0, 105.0, 1.0]
[5.7426, 35.0, 0.826, 1.0, 2.0, 0.2, 0.57, 0.0, 5000.0, 1.0, 40.0, 107.0, 1.0]
[6.8377, 34.0, 0.944, 4.0, 2.0, 0.6, 0.58, 1.0, 5000.0, 1.0, 38.0, 83.0, 1.0]
[6.4145, 33.0, 0.82, 2.0, 2.0, 0.7, 0.22, 0.0, 5000.0, 1.0, 26.0, 86.0, 1.0]
[6.7659, 29.0, 0.752, 0.0, 4.0, 0.6, 0.71, 1.0, 5000.0, 2.0, 35.0, 116.0, 1.0]
[5.2183, 30.0, 0.884, 2.0, 2.0, 0.7, 0.74, 0.0, 5000.0, 2.0, 38.0, 82.0, 1.0]
[6.0529, 27.0, 0.733, 3.0, 1.0, 0.6, 0.87, 0.0, 5000.0, 3.0, 38.0, 98.0, 1.0]
[5.6827, 34.0, 0.903, 0.0, 2.0, 0.5, 0.71, 1.0, 5000.0, 2.0, 17.0, 89.0, 1.0]
[5.1485, 31.0, 0.941, 3.0, 4.0, 0.7, 0.74, 0.0, 5000.0, 2.0, 16.0, 86.0, 1.0]
[5.903, 29.0, 0.729, 1.0, 1.0, 0.7, 0.35, 0.0, 5000.0, 3.0, 36.0, 112.0, 1.0]
[5.2466, 31.0, 0.83, 2.0, 3.0, 0.3, 0.52, 1.0, 5000.0, 3.0, 34.0, 115.0, 1.0]
[6.5906, 25.0, 0.966, 1.0, 4.0, 0.3, 0.69, 1.0, 5000.0, 2.0, 15.0, 81.0, 1.0]
[6.4722, 32.0, 0.727, 4.0, 4.0, 0.3, 0.85, 1.0, 5000.0, 1.0, 37.0, 100.0, 1.0]
[5.6045, 30.0, 0.724, 3.0, 1.0, 0.7, 0.19, 0.0, 5000.0, 1.0, 14.0, 118.0, 1.0]
[7.5798, 28.0, 0.87, 0.0, 4.0, 0.4, 0.46, 0.0, 5000.0, 3.0, 38.0, 88.0, 1.0]
[6.1428, 30.0, 0.835, 2.0, 2.0, 0.1, 0.93, 1.0, 5000.0, 2.0, 19.0, 97.0, 1.0]
[5.4392, 32.0, 0.886, 3.0, 0.0, 0.4, 0.4, 1.0, 5000.0, 3.0, 12.0, 93.0, 1.0]
[6.0832, 28.0, 0.791, 1.0, 2.0, 0.4, 0.36, 1.0, 5000.0, 2.0, 19.0, 92.0, 1.0]
[7.4121, 31.0, 0.788, 1.0, 0.0, 0.4, 0.33, 0.0, 5000.0, 1.0, 29.0, 114.0, 1.0]
[6.7497, 33.0, 0.788, 1.0, 4.0, 0.4, 0.84, 0.0, 5000.0, 3.0, 12.0, 97.0, 1.0]
[7.835, 30.0, 0.804, 2.0, 1.0, 0.5, 0.43, 0.0, 5000.0, 1.0, 37.0, 107.0, 1.0]
[6.2267, 29.0, 0.737, 1.0, 2.0, 0.7, 0.76, 0.0, 5000.0, 1.0, 32.0, 110.0, 1.0]
[7.0424, 34.0, 0.813, 3.0, 1.0, 0.3, 0.97, 0.0, 5000.0, 2.0, 32.0, 103.0, 1.0]
[5.7908, 31.0, 0.892, 4.0, 2.0, 0.4, 0.74, 1.0, 5000.0, 1.0, 24.0, 120.0, 1.0]
[6.8598, 29.0, 0.996, 2.0, 4.0, 0.2, 0.27, 0.0, 5000.0, 2.0, 36.0, 115.0, 1.0]
[5.0046, 26.0, 0.746, 1.0, 4.0, 0.2, 0.98, 0.0, 5000.0, 2.0, 30.0, 104.0, 1.0]
[7.3865, 30.0, 0.719, 1.0, 2.0, 0.3, 0.11, 1.0, 5000.0, 1.0, 11.0, 81.0, 1.0]
[5.2557, 28.0, 0.892, 1.0, 3.0, 0.3, 0.88, 1.0, 5000.0, 2.0, 13.0, 90.0, 1.0]
[5.5231, 29.0, 0.94, 1.0, 0.0, 0.2, 0.24, 1.0, 5000.0, 3.0, 25.0, 99.0, 1.0]
[6.8469, 33.0, 0.704, 2.0, 3.0, 0.7, 0.74, 0.0, 5000.0, 2.0, 20.0, 102.0, 1.0]
[7.5158, 28.0, 0.832, 2.0, 3.0, 0.5, 0.41, 1.0, 5000.0, 1.0, 21.0, 97.0, 1.0]
[7.5251, 30.0, 0.708, 3.0, 2.0, 0.6, 0.83, 0.0, 5000.0, 2.0, 21.0, 88.0, 1.0]
[5.6143, 34.0, 0.938, 2.0, 1.0, 0.6, 0.43, 1.0, 5000.0, 2.0, 25.0, 87.0, 1.0]
[5.7539, 28.0, 0.785, 1.0, 1.0, 0.5, 0.88, 0.0, 5000.0, 2.0, 35.0, 105.0, 1.0]
[5.4086, 30.0, 0.781, 2.0, 0.0, 0.7, 0.88, 0.0, 5000.0, 2.0, 23.0, 100.0, 1.0]
[6.1973, 30.0, 0.831, 4.0, 3.0, 0.4, 0.11, 1.0, 5000.0, 2.0, 39.0, 91.0, 1.0]
[6.1607, 29.0, 0.802, 4.0, 3.0, 0.5, 0.64, 0.0, 5000.0, 1.0, 11.0, 119.0, 1.0]
[5.214, 30.0, 0.789, 0.0, 4.0, 0.3, 0.7, 0.0, 5000.0, 3.0, 39.0, 85.0, 1.0]
[5.388, 28.0, 0.721, 1.0, 1.0, 0.6, 0.14, 1.0, 5000.0, 3.0, 37.0, 94.0, 1.0]
[7.2765, 30.0, 0.819, 2.0, 2.0, 0.4, 0.62, 0.0, 5000.0, 1.0, 32.0, 101.0, 1.0]
[7.2684, 32.0, 0.701, 0.0, 1.0, 0.4, 0.66, 1.0, 5000.0, 1.0, 32.0, 82.0, 1.0]
[6.8611, 31.0, 0.897, 3.0, 2.0, 0.4, 0.78, 0.0, 5000.0, 2.0, 20.0, 98.0, 1.0]
[5.941, 26.0, 0.721, 4.0, 4.0, 0.3, 0.82, 1.0, 5000.0, 1.0, 32.0, 82.0, 1.0]
[6.8641, 33.0, 0.789, 1.0, 4.0, 0.5, 0.83, 0.0, 5000.0, 2.0, 20.0, 109.0, 1.0]
[7.2416, 35.0, 0.712, 2.0, 0.0, 0.1, 0.54, 1.0, 5000.0, 2.0, 34.0, 116.0, 1.0]
[5.7176, 32.0, 0.783, 3.0, 3.0, 0.4, 0.42, 1.0, 5000.0, 2.0, 10.0, 89.0, 1.0]
[7.4885, 30.0, 0.737, 2.0, 3.0, 0.4, 0.27, 1.0, 5000.0, 2.0, 28.0, 87.0, 1.0]
[6.9478, 32.0, 0.835, 3.0, 3.0, 0.2, 0.32, 0.0, 5000.0, 2.0, 21.0, 108.0, 1.0]
[5.3876, 29.0, 0.846, 1.0, 4.0, 0.4, 0.73, 0.0, 5000.0, 1.0, 14.0, 117.0, 1.0]
[6.6834, 31.0, 0.9, 3.0, 1.0, 0.5, 0.63, 0.0, 5000.0, 2.0, 15.0, 95.0, 1.0]
[5.8488, 31.0, 0.99, 1.0, 2.0, 0.6, 0.97, 0.0, 5000.0, 2.0, 26.0, 85.0, 1.0]
[5.6285, 28.0, 0.83, 1.0, 2.0, 0.5, 0.39, 1.0, 5000.0, 2.0, 11.0, 89.0, 1.0]
[7.2545, 34.0, 0.921, 4.0, 4.0, 0.1, 0.91, 1.0, 5000.0, 2.0, 27.0, 100.0, 1.0]
[6.2861, 28.0, 0.805, 3.0, 3.0, 0.2, 0.32, 0.0, 5000.0, 3.0, 34.0, 118.0, 1.0]
[5.0012, 29.0, 0.792, 3.0, 1.0, 0.2, 0.5, 0.0, 5000.0, 1.0, 10.0, 100.0, 1.0]
[6.1646, 30.0, 0.753, 2.0, 1.0, 0.5, 0.96, 1.0, 5000.0, 1.0, 38.0, 107.0, 1.0]
[7.7487, 30.0, 0.795, 4.0, 3.0, 0.2, 0.76, 1.0, 5000.0, 3.0, 24.0, 93.0, 1.0]
[6.1226, 37.0, 0.786, 2.0, 2.0, 0.6, 0.21, 1.0, 5000.0, 2.0, 25.0, 82.0, 1.0]
[6.3414, 27.0, 0.779, 3.0, 4.0, 0.6, 0.81, 1.0, 5000.0, 1.0, 23.0, 95.0, 1.0]
[6.0543, 33.0, 0.833, 3.0, 1.0, 0.5, 0.6, 1.0, 5000.0, 2.0, 39.0, 102.0, 1.0]
[5.807, 30.0, 0.833, 1.0, 0.0, 0.5, 0.33, 0.0, 5000.0, 1.0, 18.0, 103.0, 1.0]
[6.5185, 33.0, 0.719, 3.0, 1.0, 0.7, 0.44, 0.0, 5000.0, 2.0, 27.0, 113.0, 1.0]
[6.055, 29.0, 0.97, 3.0, 0.0, 0.5, 0.36, 0.0, 5000.0, 2.0, 25.0, 90.0, 1.0]
[5.7377, 31.0, 0.949, 1.0, 3.0, 0.6, 0.14, 1.0, 5000.0, 2.0, 38.0, 97.0, 1.0]
[5.801, 33.0, 0.768, 3.0, 0.0, 0.7, 0.59, 1.0, 5000.0, 1.0, 34.0, 116.0, 1.0]
[5.9588, 30.0, 0.976, 0.0, 2.0, 0.6, 0.22, 1.0, 5000.0, 1.0, 16.0, 102.0, 1.0]
[5.6644, 29.0, 0.992, 3.0, 1.0, 0.4, 0.13, 0.0, 5000.0, 3.0, 39.0, 95.0, 1.0]
[5.3694, 32.0, 0.931, 0.0, 1.0, 0.6, 0.49, 1.0, 5000.0, 1.0, 13.0, 119.0, 1.0]
[7.0301, 27.0, 0.7, 2.0, 2.0, 0.6, 0.92, 0.0, 5000.0, 2.0, 14.0, 86.0, 1.0]
[6.1189, 32.0, 0.949, 0.0, 2.0, 0.1, 0.36, 1.0, 5000.0, 2.0, 25.0, 90.0, 1.0]
[6.4875, 29.0, 0.792, 0.0, 4.0, 0.5, 0.4, 0.0, 5000.0, 2.0, 40.0, 80.0, 1.0]
